Tournament ID,Tournament City,Surface,draw_size,Tournament Level,Tournament Date,year,Latitude,Longitude,Level Weight,Month Name,Month Number,Draw Weight,Draw Size
2024-0341,Metz,Hard,28,Tour Event,2024-11-04,2024,49.1196964,6.1763552,3,November,11,28,28 Draw
2024-0605,Turin,Hard,8,Finals,2024-11-11,2024,45.0677551,7.6824892,5,November,11,8,8 Draw
2024-7696,Jeddah,Hard,8,Finals,2024-12-18,2024,21.5504432,39.1742363,5,December,12,8,8 Draw
2025-9900,Sydney,Hard,18,Tour Event,2024-12-27,2025,-33.8698439,151.2082848,3,December,12,18,18 Draw
2025-9900,Perth,Hard,18,Tour Event,2024-12-27,2025,-31.9558967,115.8605784,3,December,12,18,18 Draw
2025-0339,Brisbane,Hard,32,Tour Event,2024-12-30,2025,-27.4689623,153.0235009,3,December,12,32,32 Draw
2025-0336,Hong Kong,Hard,28,Tour Event,2024-12-30,2025,22.3492155,114.1857978,3,December,12,28,28 Draw
2025-8998,Adelaide,Hard,28,Tour Event,2025-01-06,2025,-34.9281805,138.5999312,3,January,1,28,28 Draw
2025-0301,Auckland,Hard,28,Tour Event,2025-01-06,2025,-36.852095,174.7631803,3,January,1,28,28 Draw
2025-580,Melbourne,Hard,128,Grand Slam,2025-01-13,2025,-37.8142454,144.9631732,6,January,1,128,128 Draw
2025-0375,Montpellier,Hard,28,Tour Event,2025-01-27,2025,43.6112422,3.8767337,3,January,1,28,28 Draw
2025-0424,Dallas,Hard,32,Tour Event,2025-02-03,2025,32.7762719,-96.7968559,3,February,2,32,32 Draw
2025-0407,Rotterdam,Hard,32,Tour Event,2025-02-03,2025,51.9244424,4.47775,3,February,2,32,32 Draw
2025-0506,Buenos Aires,Clay,28,Tour Event,2025-02-10,2025,-34.6095579,-58.3887904,3,February,2,28,28 Draw
2025-0499,Delray Beach,Hard,28,Tour Event,2025-02-10,2025,26.4614625,-80.0728201,3,February,2,28,28 Draw
2025-0496,Marseille,Hard,28,Tour Event,2025-02-10,2025,43.2963986,5.3777888,3,February,2,28,28 Draw
2025-0451,Doha,Hard,32,Tour Event,2025-02-17,2025,25.3108807,51.5081812,3,February,2,32,32 Draw
2025-6932,Rio de Janeiro,Clay,32,Tour Event,2025-02-17,2025,-22.9110137,-43.2093727,3,February,2,32,32 Draw
2025-0807,Acapulco,Hard,32,Tour Event,2025-02-24,2025,16.8680495,-99.8940182,3,February,2,32,32 Draw
2025-0495,Dubai,Hard,32,Tour Event,2025-02-24,2025,25.0742823,55.1885387,3,February,2,32,32 Draw
2025-8996,"Santiago, Chile",Clay,28,Tour Event,2025-02-24,2025,-33.4376995,-70.6510671,3,February,2,28,28 Draw
2025-0404,Indian Wells,Hard,96,Masters,2025-03-05,2025,33.7217965,-116.338303,4,March,3,96,96 Draw
2025-0403,Miami,Hard,96,Masters,2025-03-19,2025,25.7741566,-80.1935973,4,March,3,96,96 Draw
2025-4462,Bucharest,Clay,28,Tour Event,2025-03-31,2025,44.4361414,26.102684,3,March,3,28,28 Draw
2025-0717,Houston,Clay,28,Tour Event,2025-03-31,2025,29.7589382,-95.3676974,3,March,3,28,28 Draw
2025-0360,Marrakech,Clay,28,Tour Event,2025-03-31,2025,31.6258257,-7.9891608,3,March,3,28,28 Draw
2025-0410,Monte Carlo,Clay,56,Masters,2025-04-07,2025,43.7402961,7.426559,4,April,4,56,56 Draw
2025-0425,Barcelona,Clay,32,Tour Event,2025-04-14,2025,41.3825802,2.177073,3,April,4,32,32 Draw
2025-0308,Munich,Clay,32,Tour Event,2025-04-14,2025,48.1371079,11.5753822,3,April,4,32,32 Draw
2025-1536,Madrid,Clay,96,Masters,2025-04-23,2025,40.416782,-3.703507,4,April,4,96,96 Draw
2025-0416,Rome,Clay,96,Masters,2025-05-07,2025,41.8933203,12.4829321,4,May,5,96,96 Draw
2025-0322,Geneva,Clay,28,Tour Event,2025-05-18,2025,46.2017559,6.1466014,3,May,5,28,28 Draw
2025-0414,Hamburg,Clay,32,Tour Event,2025-05-18,2025,53.5501721,10.0013165,3,May,5,32,32 Draw
2025-520,Paris,Clay,128,Grand Slam,2025-05-26,2025,48.8534951,2.3483915,6,May,5,128,128 Draw
2025-0440,s Hertogenbosch,Grass,28,Tour Event,2025-06-09,2025,51.6889387,5.303116,3,June,6,28,28 Draw
2025-0321,Stuttgart,Grass,28,Tour Event,2025-06-09,2025,48.7784485,9.1800132,3,June,6,28,28 Draw
2025-0500,Halle,Grass,32,Tour Event,2025-06-16,2025,51.4824354,11.9712985,3,June,6,32,32 Draw
2025-0311,London,Grass,32,Tour Event,2025-06-16,2025,51.5074456,-0.1277653,3,June,6,32,32 Draw
2025-8994,Mallorca,Grass,28,Tour Event,2025-06-22,2025,39.613432,2.8829185,3,June,6,28,28 Draw
2025-0741,Eastbourne,Grass,28,Tour Event,2025-06-23,2025,50.7664372,0.2781546,3,June,6,28,28 Draw
2025-540,Wimbledon,Grass,128,Grand Slam,2025-06-30,2025,51.4214787,-0.2064027,6,June,6,128,128 Draw
2025-0316,Bastad,Clay,28,Tour Event,2025-07-14,2025,56.4268963,12.8608789,3,July,7,28,28 Draw
2025-0314,Gstaad,Clay,28,Tour Event,2025-07-14,2025,46.4721619,7.288748,3,July,7,28,28 Draw
2025-7480,"Los Cabos, Baja California Sur, Mexico",Hard,28,Tour Event,2025-07-14,2025,23.2718481,-109.6897684,3,July,7,28,28 Draw
2025-0439,Umag,Clay,28,Tour Event,2025-07-20,2025,45.4323587,13.5224098,3,July,7,28,28 Draw
2025-0319,Kitzbuhel,Clay,28,Tour Event,2025-07-21,2025,47.4463585,12.3911473,3,July,7,28,28 Draw
2025-0418,Washington,Hard,48,Tour Event,2025-07-21,2025,38.8950982,-77.0363849,3,July,7,48,48 Draw
2025-0421,Toronto,Hard,96,Masters,2025-07-27,2025,43.6534817,-79.3839347,4,July,7,96,96 Draw
2025-0422,Cincinnati,Hard,96,Masters,2025-08-07,2025,39.1012809,-84.5127405,4,August,8,96,96 Draw
2025-6242,Winston-Salem,Hard,48,Tour Event,2025-08-17,2025,36.0998131,-80.2440518,3,August,8,48,48 Draw
2025-560,New York,Hard,128,Grand Slam,2025-08-25,2025,40.7127281,-74.0060152,6,August,8,128,128 Draw
2025-7581,Chengdu,Hard,28,Tour Event,2025-09-17,2025,30.659867,104.063315,3,September,9,28,28 Draw
2025-4713,Hangzhou,Hard,28,Tour Event,2025-09-17,2025,30.2489634,120.2052342,3,September,9,28,28 Draw
2025-0329,Tokyo,Hard,32,Tour Event,2025-09-24,2025,35.6768601,139.7638947,3,September,9,32,32 Draw
2025-0747,Beijing,Hard,32,Tour Event,2025-09-25,2025,39.9057136,116.3912972,3,September,9,32,32 Draw
2025-5014,Shanghai,Hard,96,Masters,2025-10-01,2025,31.2312707,121.4700152,4,October,10,96,96 Draw
2025-9410,Almaty,Hard,28,Tour Event,2025-10-13,2025,43.2363924,76.9457275,3,October,10,28,28 Draw
2025-7485,Brussels,Hard,28,Tour Event,2025-10-13,2025,50.8467372,4.352493,3,October,10,28,28 Draw
2025-0429,Stockholm,Hard,28,Tour Event,2025-10-13,2025,59.3251172,18.0710935,3,October,10,28,28 Draw
2025-0328,Basel,Hard,32,Tour Event,2025-10-20,2025,47.5581077,7.5878261,3,October,10,32,32 Draw
2025-0337,Vienna,Hard,32,Tour Event,2025-10-20,2025,48.2083537,16.3725042,3,October,10,32,32 Draw
2025-0352,Paris,Hard,56,Masters,2025-10-27,2025,48.8534951,2.3483915,4,October,10,56,56 Draw
2025-5100,Athens,Hard,28,Tour Event,2025-11-02,2025,33.9597677,-83.376398,3,November,11,28,28 Draw
